model,protocol,seed,c_u,c_o,mean_realized_cost,service_level,fill_rate,mean_overstock,crps,coverage_90,model_protocol
cvae,aggregate,0,1,1,18.140135338022677,0.5349735802249289,0.7701219749029973,5.910843621336002,13.642182127628544,0.8897584609291287,cvae
cvae,aggregate,1,1,1,18.14237510861122,0.5351654728387518,0.7700892515759572,5.911342542131942,13.642726101945648,0.8897400392382017,cvae
cvae,aggregate,2,1,1,18.14008928379536,0.5350963914977755,0.7701144433435991,5.910396895331022,13.641078846422973,0.8897446446609334,cvae
cvae,aggregate,0,1,3,26.306547683011825,0.3037874996545933,0.6313920647605608,2.232319014562347,13.642182127628544,0.8897584609291287,cvae
cvae,aggregate,1,1,3,26.301002754042795,0.30385504585465895,0.6314474693354435,2.2314531950887773,13.642726101945648,0.8897400392382017,cvae
cvae,aggregate,2,1,3,26.29955051074138,0.3036554775362831,0.6314288857176182,2.2306395704061677,13.641078846422973,0.8897446446609334,cvae
cvae,aggregate,0,3,1,34.35639677866031,0.7649668563077405,0.8749081279607902,14.392091875113216,13.642182127628544,0.8897584609291287,cvae
cvae,aggregate,1,3,1,34.354064899617136,0.7651449326533682,0.8749162943642755,14.391063330703124,13.642726101945648,0.8897400392382017,cvae
cvae,aggregate,2,3,1,34.34882546368931,0.7648348341894302,0.8749492774002604,14.391087892957694,13.641078846422973,0.8897446446609334,cvae
cvae,marginal,0,1,1,22.87447459802335,0.5516156590513444,0.7035420087009422,7.103192172009469,13.642182127628544,0.8897584609291287,cvae_marginal
cvae,marginal,1,1,1,22.87449301971428,0.5515511831330998,0.7035455291999713,7.103397880891487,13.642726101945648,0.8897400392382017,cvae_marginal
cvae,marginal,2,1,1,22.87207517278011,0.5516755295468572,0.7035663059155522,7.102085335412937,13.641078846422973,0.8897446446609334,cvae_marginal
cvae,marginal,0,1,3,33.25708083745007,0.3207584824211014,0.5002842947248669,2.2242272868226576,13.642182127628544,0.8897584609291287,cvae_marginal
cvae,marginal,1,1,3,33.256826004058915,0.32084138003027296,0.500292720837297,2.224291762740902,13.642726101945648,0.8897400392382017,cvae_marginal
cvae,marginal,2,1,3,33.25473821242052,0.3208049204336466,0.5002923168456052,2.2235886682038544,13.641078846422973,0.8897446446609334,cvae_marginal
cvae,marginal,0,3,1,42.89215942131328,0.7945778055467712,0.8545431087703191,19.677655717018265,13.642182127628544,0.8897584609291287,cvae_marginal
cvae,marginal,1,3,1,42.890268127711444,0.7946480382434303,0.8545606535523653,19.67856452043733,13.642726101945648,0.8897400392382017,cvae_marginal
cvae,marginal,2,3,1,42.88792089725916,0.7946894870480161,0.8545603649868712,19.67617123575773,13.641078846422973,0.8897446446609334,cvae_marginal
empirical,aggregate,0,1,1,29.659471972932398,0.5500225665713856,0.7530893100393263,16.524058728350674,21.894140190159444,0.7891468607903519,empirical
empirical,aggregate,1,1,1,29.65501238858715,0.5496249650755443,0.7530904354447536,16.51965901450094,21.89396986898186,0.7889457573310654,empirical
empirical,aggregate,2,1,1,29.65302438110794,0.5497861548711556,0.7531001889584569,16.518189884649512,21.89512857747395,0.7890593577584486,empirical
empirical,aggregate,0,1,3,45.1455052609279,0.337565205110177,0.5512977107695355,7.091657123207339,21.894140190159444,0.7891468607903519,empirical
empirical,aggregate,1,1,3,45.14590439756465,0.33775249230126836,0.5515286208779789,7.095884901275088,21.89396986898186,0.7889457573310654,empirical
empirical,aggregate,2,1,3,45.16568468819753,0.33772178948305664,0.5513082145535236,7.098569862727699,21.89512857747395,0.7890593577584486,empirical
empirical,aggregate,0,3,1,52.47543160486701,0.7413533188211345,0.8694817115558188,31.64508616745931,21.894140190159444,0.7891468607903519,empirical
empirical,aggregate,1,3,1,52.4755022213489,0.7413164754392806,0.8695329030744864,31.653326803867326,21.89396986898186,0.7889457573310654,empirical
empirical,aggregate,2,3,1,52.480112249503385,0.741296518607443,0.8694974960883505,31.65228597832995,21.89512857747395,0.7890593577584486,empirical
gaussian,aggregate,0,1,1,29.935663101616058,0.5797198674866366,0.7870240655914087,18.60554649122,23.25112472377336,0.5673972913973774,gaussian
gaussian,aggregate,1,1,1,29.933956874407162,0.5799424629186714,0.7870489248388728,18.605162752269738,23.251244755056298,0.567546200065704,gaussian
gaussian,aggregate,2,1,1,29.93437809407243,0.5799132952413701,0.7870251746649455,18.60432048533091,23.251155627036166,0.5676858978885672,gaussian
gaussian,aggregate,0,1,3,51.0290314102876,0.4411841462927882,0.6944199327370942,11.590821080692704,23.25112472377336,0.5673972913973774,gaussian
gaussian,aggregate,1,1,3,51.02829927339797,0.44114269748820245,0.6944231444544496,11.590633988496313,23.251244755056298,0.567546200065704,gaussian
gaussian,aggregate,2,1,3,51.0298787903715,0.44118721657460935,0.6943900422024581,11.590573491407941,23.251155627036166,0.5676858978885672,gaussian
gaussian,aggregate,0,3,1,50.970559058791096,0.7010896430183327,0.8529399770208828,27.500200113667454,23.25112472377336,0.5673972913973774,gaussian
gaussian,aggregate,1,3,1,50.971604701707996,0.7011049944274386,0.8529492354394771,27.502723373704647,23.251244755056298,0.567546200065704,gaussian
gaussian,aggregate,2,3,1,50.971524521690824,0.7009391992090954,0.8529278272000957,27.49922649992885,23.251155627036166,0.5676858978885672,gaussian
negative_binomial,aggregate,0,1,1,29.165113615778797,0.5462768227495602,0.7584040227415003,16.312438018685736,22.66112128509255,0.6233132639244956,negative_binomial
negative_binomial,aggregate,1,1,1,29.165307043533527,0.5462983147223084,0.7583488490190129,16.309696257019432,22.661329419001365,0.6230553602515175,negative_binomial
negative_binomial,aggregate,2,1,1,29.16618360899347,0.5460189190765821,0.7583837943003583,16.312431878122094,22.661280860398897,0.6233086585017639,negative_binomial
negative_binomial,aggregate,0,1,3,48.30658606153459,0.4056287476627479,0.6575807973283914,10.030070340156524,22.66112128509255,0.6233132639244956,negative_binomial
negative_binomial,aggregate,1,1,3,48.29995732308269,0.4055090066717224,0.6575603091783045,10.027497443990384,22.661329419001365,0.6230553602515175,negative_binomial
negative_binomial,aggregate,2,1,3,48.30399474367752,0.4055335689262918,0.6575840581184756,10.029264391178467,22.661280860398897,0.6233086585017639,negative_binomial
negative_binomial,aggregate,0,3,1,51.20009333656736,0.6887670669290734,0.8405105439234484,25.7460324283166,22.66112128509255,0.6233132639244956,negative_binomial
negative_binomial,aggregate,1,3,1,51.20531742108608,0.6887440398154147,0.8404711835900421,25.7449747162292,22.661329419001365,0.6230553602515175,negative_binomial
negative_binomial,aggregate,2,3,1,51.20050935975413,0.6889282567246848,0.8405011366883381,25.74494708369281,22.661280860398897,0.6233086585017639,negative_binomial
poisson,aggregate,0,1,1,29.62818119575196,0.569133535767248,0.7748313926245776,17.64942601081353,26.645725249650766,0.3739250175773634,poisson
poisson,aggregate,1,1,1,29.627594771924116,0.569159633162728,0.7748250441837057,17.648501855985362,26.64532724533854,0.37359189199976667,poisson
poisson,aggregate,2,1,1,29.629192853612032,0.5691811251354761,0.7748184071773395,17.649746855263846,26.645815489981672,0.3738206279954437,poisson
poisson,aggregate,0,1,3,59.444389520514086,0.4932914342207471,0.7412464955884973,15.226316613601965,26.645725249650766,0.3739250175773634,poisson
poisson,aggregate,1,1,3,59.443494533363214,0.4931241038614934,0.7412530171686658,15.226133931833603,26.64532724533854,0.37359189199976667,poisson
poisson,aggregate,2,1,3,59.44451540206875,0.4932392394297873,0.7412494966696368,15.22641179233842,26.645815489981672,0.3738206279954437,poisson
poisson,aggregate,0,3,1,51.60912088620614,0.6429292944799403,0.8045952496694626,20.423081764675175,26.645725249650766,0.3739250175773634,poisson
poisson,aggregate,1,3,1,51.608889079928645,0.6428448617298581,0.8045904594822593,20.42208545822421,26.64532724533854,0.37359189199976667,poisson
poisson,aggregate,2,3,1,51.60891824760595,0.64284946715259,0.8045957690873522,20.422962023684153,26.645815489981672,0.3738206279954437,poisson
